Станция метро,Геогр. широта,Геогр. долгота
Купчино,59.829340,30.375310
Звёздная,59.833205,30.349572
Московская,59.852371,30.322390
Проспект Ветеранов,59.842222,30.250464
Ленинский проспект,59.851888,30.268060
Автово,59.867344,30.261250
Кировский Завод,59.879768,30.261663
Парк Победы,59.866269,30.321187
Электросила,59.879101,30.319084
Нарвская,59.901110,30.274706
Московские Ворота,59.891523,30.318260
Балтийская,59.907264,30.299747
Фрунзенская,59.906380,30.317471
Технологический Институт,59.916380,30.318522
Волковская,59.896025,30.357378
Обводный Канал,59.914726,30.349463
Звенигородская,59.922353,30.335891
Лиговский Проспект,59.920725,30.354836
Пушкинская,59.920616,30.329668
Площадь Александра Невского,59.923873,30.384621
Елизаровская,59.896517,30.423567
Ломоносовская,59.877355,30.441849
Пролетарская,59.865241,30.470253
Обухово,59.848744,30.457781
Рыбацкое,59.830485,30.500766
Садовая / Сенная / Спасская,59.926802,30.319054
Владимирская,59.927547,30.347970
Маяковская,59.931437,30.355019
Площадь Восстания,59.931579,30.360459
Гостинный Двор,59.934040,30.333793
Невский Проспект,59.934846,30.330443
Адмиралтейская,59.935968,30.315145
Чернышевская,59.944568,30.359836
Василеостровская,59.942673,30.278164
Приморская,59.948584,30.234500
Спортивная,59.951878,30.290516
Горьковская,59.955869,30.318733
Чкаловская,59.961096,30.291991
Петроградская,59.966423,30.311175
Крестовский Остров,59.971863,30.259226
Старая Деревня,59.989450,30.255352
Черная Речка,59.985463,30.301025
Пионерская,60.002353,30.296458
Комендантский Проспект,60.008521,30.258639
Площадь Ленина,59.955756,30.355801
Выборгская,59.971074,30.347535
Лесная,59.984831,30.344132
Площадь Мужества,59.999686,30.366469
Политехническая,60.008911,30.370766
Академическая,60.012839,30.395835
Гражданский Проспект,60.035025,30.418213
Девяткино,60.050228,30.442889
Новочеркасская,59.929010,30.411721
Ладожская,59.932390,30.439082
Проспект Большевиков,59.919970,30.466816
Улица Дыбенко,59.907491,30.483120
Удельная,60.016830,30.315461
Озерки,60.037166,30.321625
Проспект Просвещения,60.051362,30.332514
Парнас,60.067163,30.334225
Бухарестская,59.883965,30.368740
Международная,59.870168,30.378674
