Описаний,num,Геогр. Широта,Геогр. Долгота
01. Вознесенский просп. 1,01,59.935571,30.308397
"02. Лиговский просп. 153 (ТЦ ""Лиговъ"")",02,59.915294,30.347769
03. Греческая площадь Автостоянка №12,03,59.936461,30.36524
04. Загородный просп. 74,04,59.916826,30.318685
05. ст. метро «Лиговский проспект»,05,59.921068,30.355049
06. Малая Морская ул. 4/1 лит.А,06,59.93639,30.314651
07. Марсово поле 3,07,59.943055,30.329246
08. Невский просп. 177,08,59.923655,30.383871
09. Невский просп. 35,09,59.934226,30.334188
10. Площадь Восстания,10,59.930909,30.363182
11. Новочеркасский просп. 41/14,11,59.929152,30.41087
12. Площадь Балтийского вокзала,12,59.908283,30.300456
13. Лиговский просп. 16 (Московский Вокзал),13,59.930091,30.360746
14. Площадь Искусств 3,14,59.937467,30.329606
15. ул. Комсомола 35 (Площадь Ленина),15,59.954954,30.357438
16. ст. метро «Петроградская» (Площадь Льва Толстого),16,59.966039,30.311652
17. Площадь Островского Автостоянка №14 1,17,59.932268,30.335521
18. Площадь Труда 6,18,59.931364,30.293323
19. ст. метро «Крестовский остров» (Морской просп. 45),19,59.971345,30.259356
20. Сенная площадь 5,20,59.927412,30.318503
21. Синопская наб. (просп. Бакунина 35),21,59.931309,30.388938
22. 1-я Советская ул. 7/124,22,59.930726,30.365271
23. ст. метро «Василеостровская»,23,59.942661,30.279114
24. ст. метро «Горьковская»,24,59.95633,30.319335
25. ст. метро «Приморская»,25,59.948685,30.234437
26. ст. метро «Спортивная»,26,59.951502,30.292799
27. ст. метро «Чкаловская»,27,59.960882,30.291657
28. Чернышевского просп 20,28,59.944807,30.359515
29. Кораблестроителей ул. Park Inn,29,59.939368,30.216993
